"","Reduction","MC_Kern","MC_Mojave","MC_Antelope","MC_Ventura"
"1",0,-2.49484993570371,6.85424315009301,4.1088587538351,-20.8125991370446
"2",1,1.28960744879471,21.1488436347082,-14.8848465673428,9.16704627746336
"3",2,10.249456813008,-21.9032691946196,14.1525292965174,12.3365779975154
"4",3,14.2215887989272,32.4366949298059,7.48375722072351,-60.0719002520208
"5",4,25.4115838557394,49.49604231123,10.905911104162,-2.38256707004746
"6",5,22.3754186206653,16.7625628561502,20.3661633112979,-16.2150482161863
"7",6,43.4409494876114,10.0958369098772,10.9759206928566,49.4095703645791
"8",7,10.4274681545234,18.8456270854494,15.8103406442973,67.8369083382839
"9",8,16.5434021017487,-5.06220321560132,32.1802643690568,26.3198503163357
"10",9,31.9098741386751,59.6980081200895,40.4968266117811,-10.4804101426072
"11",10,2.02960192155718,18.1496684865368,7.32284908097268,48.4809129056122
"12",11,19.0091426291216,36.5099873858668,46.3263272178896,-2.86828504742169
"13",12,45.0980214951289,3.62076597798981,45.1449544859224,49.9048256156045
"14",13,15.7481717656085,22.0975673502584,48.4228156066258,-13.3248771020202
"15",14,46.634607079133,30.6701353263331,78.4397940885446,0.693494583006157
"16",15,22.9111412094123,83.0029539538536,83.7669310554608,76.0693346471922
"17",16,64.3763276543533,67.3743963888255,38.3224153422512,21.105777267839
"18",17,50.983371545965,73.941948278524,65.1968358014262,-26.3031363929621
"19",18,45.6297739754348,98.5740284414821,42.9760196576029,95.0463932812159
"20",19,33.8947912371493,90.142661131038,42.3887105952569,7.4375809828487
"21",20,24.9569975498828,117.727792077449,30.137860279343,-1.54559105177998
"22",21,74.2048253411037,48.1515424937524,62.8790334321465,-12.1344067993097
"23",22,45.4421411306785,90.2768531180152,82.1614072261443,-23.1014202366058
"24",23,46.2150546842911,91.1462328128718,43.1415867282016,92.1106373703577
"25",24,69.150139843421,55.0061541923815,133.665783045279,67.5758951905972
"26",25,50.6400571037511,69.8166781177108,91.3063104155303,70.3268059127823
"27",26,64.2793322223468,100.677860242108,61.6106280882408,68.1503062703816
"28",27,50.3487310745901,87.3939835005245,-1.13029040986213,61.2971406539729
"29",28,97.0621735520307,94.861101516305,87.774637232846,-5.39402424290822
"30",29,68.6524571557654,134.697372885425,43.2999909924018,5.74148389257526
"31",30,44.5119152478126,131.021456177546,77.8065573946102,73.7034689699422
"32",31,84.3725080972354,141.6416020868,137.18235986885,77.4561225224078
"33",32,69.8517997750019,114.412118376287,122.517657080613,28.584999908814
"34",33,70.3294954965588,89.9496876622738,54.4974186688868,68.0177628589952
"35",34,82.9349221988861,134.940167738816,91.5424525265885,83.9557323095648
"36",35,77.1265935774012,169.876666759374,113.706371501788,78.3580587172515
"37",36,82.4785721882327,170.960953215975,88.287499967049,67.2300785947817
"38",37,73.8312916940564,162.225017210488,99.7744198470559,84.6061631677022
"39",38,71.3962317359801,131.571547689384,113.911504773338,24.7022910311672
"40",39,57.7173465139333,140.935979436811,82.0962476962967,112.286124844493
"41",40,72.3446568836084,126.123376816219,110.358652701488,9.08910228481797
"42",41,117.954239625494,144.462290224134,151.73979136899,58.3941909957112
"43",42,98.1053596722036,169.131586317493,116.198163765825,34.7533370925218
"44",43,95.6449664375873,154.384924595223,147.311419916886,79.3626210512684
"45",44,120.21877882276,200.679327260534,125.997784926997,108.685870280102
"46",45,130.016407353694,148.979759746498,147.083980665397,100.139583631414
"47",46,107.627035198202,168.804219835582,77.6540265558118,47.0381483578223
